skills,qualification,experience_years,education_level,language,certification,soft_skills,job_role,source
"REST API, API development, Mobile UI, Flutter, Statistics, Dart",App portfolio,3,Certification,German,Kubernetes Basics,"Self Learning, Teamwork, Attention to Detail, Time Management",Mobile Developer,current_custom_dataset
"java, qa, selenium",QA Engineer- Selenium Experience at Opus Recruitment Solutions,2,Unknown,English,,"Communication, Problem Solving",QA Engineer,adzuna_api
"Kubernetes, Docker, Firewalls, System administration, Cloud project, Redis, AWS, Monitoring, Incident Response, Networking, Nginx",System administration,0,College,English,ISTQB Foundation,"Critical Thinking, Attention to Detail",DevOps Engineer,current_custom_dataset
"Java, Kotlin, Spring Boot, REST API, PostgreSQL, Kafka, Redis, Docker, Kubernetes, Microservices",Senior Backend Developer (Java/Kotlin),7,Unknown,Russian,,"Leadership, Analytical Thinking, Problem Solving, Teamwork",Backend Developer,current_custom_dataset
"Docker, Figma, Git, Node.js, Postman, CSS, Vite",AI course,5,Bachelor,Kazakh,AWS Cloud Practitioner,"Self Learning, Critical Thinking",Frontend Developer,current_custom_dataset
"Business reporting, Firebase, Power BI, Testing, Regression Testing, Node.js, UI Design, Vite",UI implementation,0,Master,Russian,Meta Frontend,"Attention to Detail, Adaptability, Time Management, Critical Thinking",Frontend Developer,current_custom_dataset
cybersecurity,Senior CyberSecurity SOC Analyst at Live Nation,4,Unknown,English,,"Communication, Problem Solving",Cybersecurity Analyst,adzuna_api
"API development, Cryptography, Kotlin, React, Firebase, Spring Boot, Mobile UI, Dart, Responsive Design, Flutter, Android",App portfolio,1,Bachelor,Turkish,TensorFlow Developer,"Time Management, Problem Solving, Creativity, Teamwork",Mobile Developer,current_custom_dataset
"Python, Machine Learning, Deep Learning, PyTorch, TensorFlow, LLM, NLP, Computer Vision, Docker, Git",Senior ML Developer,4,Unknown,Russian,,"Analytical Thinking, Problem Solving, Communication, Leadership",Machine Learning Engineer,current_custom_dataset
"Cloud security, SIEM, Bash, Firewalls, Monitoring, Redis",Network administration,2,College,German,TensorFlow Developer,"Teamwork, Communication, Attention to Detail",Cybersecurity Analyst,current_custom_dataset
"Cryptography, Linux, Dart, Firewalls, Bash, Security Monitoring, Statistics, Incident Response, System administration, Power BI",Cybersecurity certificate,4,Bachelor,Kazakh,ISTQB Foundation,"Adaptability, Attention to Detail, Problem Solving",Cybersecurity Analyst,current_custom_dataset
"qa, security",QA Engineer at Advanced Resource Managers Limited,2,Unknown,English,,"Communication, Problem Solving",QA Engineer,adzuna_api
"Monitoring, Docker, Flutter, Java, Hibernate, Manual Testing, Postman, Microservices, Python, Linux",API development,1,Master,German,Cisco CCNA,"Attention to Detail, Creativity, Time Management",Backend Developer,current_custom_dataset
"Incident Response, Bash, Cryptography, SQL, Python",CTF practice,1,College,Turkish,Oracle Java,"Problem Solving, Adaptability, Self Learning",Cybersecurity Analyst,current_custom_dataset
"CI/CD, Postman, Mobile Testing, REST API, Spring Boot, Redis, Nginx, AWS, Microservices, Java",Computer Science degree,3,Bachelor,German,ISTQB Foundation,"Leadership, Adaptability, Communication, Creativity",Backend Developer,current_custom_dataset
"Redis, API Testing, Docker, GitHub Actions, TensorFlow, Linux, Bash, Security Monitoring, Monitoring, HTML",Network administration,3,Bachelor,Turkish,Meta Frontend,"Communication, Critical Thinking, Adaptability",DevOps Engineer,current_custom_dataset
"cybersecurity, security",Senior Industry CyberSecurity Analyst at GSM Conference Services,4,Unknown,English,,Teamwork,Cybersecurity Analyst,adzuna_api
"SQL (Advanced), ClickHouse, Data Analysis, Forecasting, Product Analytics, Excel/Google Sheets (Advanced), BI Tools (Power BI/Tableau/Looker), Data Validation, ETL Basics, Git, Reporting",Data Analyst,2,Bachelor,Russian,none,"Analytical Thinking, Communication, Attention to Detail, Problem Solving",Data Analyst,current_custom_dataset
"React, JavaScript, TypeScript, HTML, CSS, REST API, WebSockets, Git, Unit Testing, Next.js",Senior React Developer,4,Unknown,Russian,,"Leadership, Communication, Teamwork, Problem Solving",Frontend Developer,current_custom_dataset
cybersecurity,Director Analyst – Infrastructure Cybersecurity (Remote: Europe) at Gartner,2,Unknown,English,,Problem Solving,Cybersecurity Analyst,adzuna_api
"REST API, Firewalls, Python, Cryptography, System administration, Bash, Wireshark",Network administration,1,Master,German,Oracle Java,"Attention to Detail, Time Management",Cybersecurity Analyst,current_custom_dataset
"JavaScript, Microservices, State Management, Postman, UI Design, Figma, Node.js, HTML, CSS, Responsive Design",Portfolio projects,0,Certification,Kazakh,Google Data Analytics,"Critical Thinking, Leadership",Frontend Developer,current_custom_dataset
"java, qa, selenium",QA Engineer- Selenium Experience at Opus Recruitment Solutions Ltd,2,Unknown,English,,"Communication, Problem Solving",QA Engineer,adzuna_api
"React Native, JavaScript, TypeScript, REST API, Mobile Development, Git, CI/CD, Performance Optimization, Debugging, API Integration",Middle React Native Developer,4,Unknown,English,,"Teamwork, Communication, Problem Solving, Analytical Thinking",Frontend Developer,current_custom_dataset
"SQL, A/B Testing, REST API, Model Evaluation, Excel, NumPy, Pandas",Data analysis projects,0,Bachelor,Russian,Oracle Java,"Self Learning, Time Management, Attention to Detail",Data Analyst,current_custom_dataset
"qa, testing",Senior QA Engineer at trg.recruitment,4,Unknown,English,,Teamwork,QA Engineer,adzuna_api
"Networking, Security Monitoring, Bash, GitHub Actions, Kubernetes, CCNA, System administration, PostgreSQL, Monitoring, Docker",Linux administration,0,Bachelor,German,Meta Frontend,"Communication, Leadership, Attention to Detail, Adaptability",DevOps Engineer,current_custom_dataset
"Java, Spring Boot, Angular, AWS, Microservices, CI/CD, Docker, REST API, Serverless, Git",Backend Developer,7,Unknown,English,AWS,"Leadership, Communication, Analytical Thinking, Problem Solving",Backend Developer,current_custom_dataset
"Kubernetes, Linux, Windows Server, Active Directory, CI/CD, VMware, Bash, Networking",DevOps Engineer,4,Bachelor,Russian,none,"Problem Solving, Responsibility, Attention to Detail, Communication",DevOps Engineer,current_custom_dataset
"Pandas, A/B Testing, JavaScript, Responsive Design, Jupyter, NumPy, Statistics, Machine Learning, SQL, Business reporting, AWS",Statistics course,2,Bachelor,Russian,Kubernetes Basics,"Self Learning, Time Management, Problem Solving, Attention to Detail",Data Analyst,current_custom_dataset
qa,Senior QA Engineer at Gravitas Recruitment Group  Ltd,4,Unknown,English,,"Communication, Problem Solving",QA Engineer,adzuna_api
"cybersecurity, incident response",Cybersecurity Incident Response Analyst / Incident Response Lead Analyst / Hyderabad/ Cybersecurity at Hsbc,2,Unknown,English,,"Communication, Problem Solving",Cybersecurity Analyst,adzuna_api
Unknown,"AI-Pilled BackEnd Developers and err, cats. at Mongoose Gray",2,Unknown,English,,"Communication, Problem Solving",Backend Developer,adzuna_api
"Mobile Testing, Model Evaluation, Selenium, Postman, Feature Engineering, Java, Test Cases, Machine Learning, Regression Testing, CI/CD",Software testing course,4,College,Russian,Google Data Analytics,"Attention to Detail, Critical Thinking, Communication, Time Management",QA Engineer,current_custom_dataset
Unknown,Senior Frontend Developer at SEEKR,4,Unknown,English,,"Teamwork, Attention to Detail",Frontend Developer,adzuna_api
"Automation Testing, Security Monitoring, Cryptography, Python, CCNA, Monitoring",Excel certification,0,College,Kazakh,ISTQB Foundation,"Adaptability, Communication",Cybersecurity Analyst,current_custom_dataset
"Excel, Python, Wireshark, Networking, SIEM, CCNA, Risk Assessment, Jira, Hibernate",Linux administration,2,Master,Russian,AWS Cloud Practitioner,"Communication, Problem Solving, Time Management, Self Learning",Cybersecurity Analyst,current_custom_dataset
"Kubernetes, Docker, CI/CD, Jenkins, GitLab, Python, Go, Groovy, Terraform, Ansible, Linux, Git, ArgoCD",DevOps Software Engineer,4,Bachelor,English,,"Communication, Analytical Thinking, Problem Solving, Teamwork",DevOps Engineer,current_custom_dataset
"Flutter, Java, Git, Firewalls, Firebase, UI Design, Postman, Responsive Design, Node.js, CSS",Web development,3,Bootcamp,English,Oracle Java,"Self Learning, Critical Thinking, Creativity",Frontend Developer,current_custom_dataset
"Terraform, JavaScript, GitHub Actions, Security Monitoring, CI/CD, CSS, System administration, Monitoring, Python",Deployment experience,6,College,Russian,,"Leadership, Critical Thinking, Attention to Detail",DevOps Engineer,current_custom_dataset
"javascript, react, typescript",Frontend Developer at TopTek Talent,1,Unknown,English,,Teamwork,Frontend Developer,adzuna_api
"Docker, CCNA, A/B Testing, Cryptography, System administration, Risk Assessment, Firewalls",Research project,1,Bachelor,Russian,TensorFlow Developer,"Critical Thinking, Attention to Detail",Cybersecurity Analyst,current_custom_dataset
"Regression Testing, Python, Mobile Testing, Java, Linux, SQL, Bug Reporting, CI/CD, Nginx",Software testing course,2,Master,Turkish,Oracle Java,"Time Management, Teamwork",QA Engineer,current_custom_dataset
"Power BI, Kotlin, Dashboards, SQL, NumPy, Model Evaluation, Business reporting",Data analysis projects,3,College,Russian,ISTQB Foundation,"Teamwork, Creativity, Time Management",Data Analyst,current_custom_dataset
"Manual Testing, Flutter, CI/CD, Python, Jira, Redis, API Testing, Postman",QA internship,1,College,Kazakh,Kubernetes Basics,"Creativity, Problem Solving, Time Management",QA Engineer,current_custom_dataset
"cybersecurity, incident response, security",Acquisition Cybersecurity Team (ACT) - Senior SOC Analyst at JPMorganChase,4,Unknown,English,,Teamwork,Cybersecurity Analyst,adzuna_api
"Testing, Scikit-learn, API development, REST API, Android, Mobile UI, Node.js, Manual Testing, SQLite, Dart",Firebase project,2,College,German,Google Data Analytics,"Critical Thinking, Self Learning, Attention to Detail, Leadership",Mobile Developer,current_custom_dataset
"SQL, Hibernate, Feature Engineering, Scikit-learn, Statistics, Bug Reporting, NumPy",Linux administration,0,College,Kazakh,Google Data Analytics,"Critical Thinking, Self Learning, Communication, Adaptability",Machine Learning Engineer,current_custom_dataset
"Risk Assessment, Mobile UI, Firewalls, Web development, Monitoring, Bash, Wireshark, Linux, CCNA",CTF practice,4,Master,Turkish,Google Data Analytics,"Creativity, Critical Thinking, Adaptability, Teamwork",Cybersecurity Analyst,current_custom_dataset
"Node.js, Figma, Vite, Tailwind CSS, React, Responsive Design, Postman, Automation Testing",API testing project,2,Bootcamp,Kazakh,Google Data Analytics,"Time Management, Communication",Frontend Developer,current_custom_dataset
"CSS, Git, Tailwind CSS, UI Design, Firebase, JavaScript, Cryptography",Web development,0,Certification,Kazakh,AWS Cloud Practitioner,"Time Management, Critical Thinking",Frontend Developer,current_custom_dataset
"aws, ci/cd, docker, git, kubernetes, microservices, mysql, node.js, postgresql, typescript",Backend Developer at OCC Group,2,Unknown,English,AWS Cloud Practitioner,"Communication, Problem Solving",Backend Developer,adzuna_api
machine learning,Senior Machine Learning Engineer - Agentic AI Platform at Robert Half Limited,4,Unknown,English,,Teamwork,Machine Learning Engineer,adzuna_api
"Dart, UI Design, Test Cases, Tailwind CSS, Vite, Responsive Design, Testing, CSS, Git, Postman, Firebase",Computer Science degree,1,Bachelor,Turkish,TensorFlow Developer,"Communication, Leadership, Creativity",Frontend Developer,current_custom_dataset
"aws, ci/cd, docker, kubernetes, security, terraform",DevOps Engineer at Ocho,2,Unknown,English,AWS Cloud Practitioner,Teamwork,DevOps Engineer,adzuna_api
"Dart, REST API, Kubernetes, Testing, Power BI, Firebase",Firebase project,0,Bachelor,Russian,Oracle Java,"Time Management, Adaptability, Problem Solving, Self Learning",Mobile Developer,current_custom_dataset
java,Senior Backend Developer ( Go/Java) at Ocho,4,Unknown,English,,"Communication, Problem Solving",Backend Developer,adzuna_api
excel,Trainee Data Analyst Associate at Newto Training,1,Unknown,English,,"Communication, Problem Solving",Data Analyst,adzuna_api
"NumPy, Model Evaluation, Pandas, Docker, Python, Jira, Cloud project, Linux",Security course,0,Master,German,Kubernetes Basics,"Adaptability, Problem Solving, Time Management, Critical Thinking",Machine Learning Engineer,current_custom_dataset
"Python, Linux, Docker, GitHub Actions, NumPy, Scikit-learn, Model Evaluation",Machine learning projects,3,Bachelor,German,Meta Frontend,"Leadership, Attention to Detail, Creativity, Teamwork",Machine Learning Engineer,current_custom_dataset
"Microservices, Incident Response, Hibernate, Feature Engineering, React, Python, Testing",Computer Science degree,0,Bachelor,English,AWS Cloud Practitioner,"Communication, Self Learning, Leadership",Backend Developer,current_custom_dataset
"API Testing, REST API, SQL, Regression Testing, CCNA, Mobile Testing, Networking, Automation Testing, Manual Testing, Postman",Software testing course,2,College,Russian,Meta Frontend,"Adaptability, Problem Solving, Creativity",QA Engineer,current_custom_dataset
"iOS, Cryptography, Dart, State Management, UI Design, Mobile UI, Git, Firewalls, Java, Firebase, React",System administration,2,Bachelor,Turkish,Cisco CCNA,"Attention to Detail, Teamwork, Leadership, Problem Solving",Mobile Developer,current_custom_dataset
"Mobile UI, Excel, Firebase, Testing, React, Mobile Testing, Flutter, Kotlin, Android",Excel certification,0,Bootcamp,German,AWS Cloud Practitioner,"Communication, Teamwork",Mobile Developer,current_custom_dataset
"Bug Reporting, Pandas, SQL, Postman, Git, Web development, Jira, API Testing",Testing project,0,College,Russian,Oracle Java,"Time Management, Self Learning",QA Engineer,current_custom_dataset
"SQL, TensorFlow, Docker, API development, Model Evaluation, Statistics, Flutter, Feature Engineering, GitHub Actions",Machine learning projects,3,Certification,German,Kubernetes Basics,"Adaptability, Attention to Detail, Teamwork, Leadership",Machine Learning Engineer,current_custom_dataset
"Information Security, Threat Modeling, Biometric Authentication (Face Recognition, Liveness Detection), Risk Analysis, API Security (REST), Encryption, HSM, BPMN/UML, UX Analysis, Security Compliance, Vulnerability Assessment",IT Security Analyst,3,Bachelor,English,,"Analytical Thinking, Communication, Attention to Detail, Problem Solving",Cybersecurity Analyst,current_custom_dataset
Unknown,Senior DevOps Engineer at MCS Group,4,Unknown,English,,Teamwork,DevOps Engineer,adzuna_api
"Cloud project, Linux, SIEM, Data Cleaning, Python, Selenium, Jupyter",Kaggle experience,2,Master,Kazakh,Meta Frontend,"Problem Solving, Leadership, Adaptability",Machine Learning Engineer,current_custom_dataset
"Cloud project, ML Pipelines, Statistics, Redis, Test Cases, Data Cleaning, Android, Linux, SQL",AI course,4,Certification,Russian,Oracle Java,"Teamwork, Communication, Adaptability, Critical Thinking",Machine Learning Engineer,current_custom_dataset
"aws, ci/cd, postgresql, redis",DevOps Engineer at Major Recruitment,1,Unknown,English,AWS Cloud Practitioner,"Communication, Problem Solving",DevOps Engineer,adzuna_api
"Firebase, Kotlin, Nginx, PostgreSQL, Java, State Management, REST API, API development, iOS, Testing, SQLite",Firebase project,1,Certification,Kazakh,Google Data Analytics,"Teamwork, Adaptability, Creativity",Mobile Developer,current_custom_dataset
"Regression Testing, PostgreSQL, Python, Terraform, GitHub Actions, Docker, System administration, Redis",Deployment experience,2,Bachelor,English,Kubernetes Basics,"Problem Solving, Creativity",DevOps Engineer,current_custom_dataset
"Android, Cryptography, REST API, SIEM, Cloud security, Bash, Docker, Python, Incident Response, Web development",Cybersecurity certificate,2,College,English,Meta Frontend,"Time Management, Teamwork, Critical Thinking",Cybersecurity Analyst,current_custom_dataset
qa,QA Engineer - ServiceNow at Lynx Recruitment Ltd,2,Unknown,English,,Teamwork,QA Engineer,adzuna_api
"Linux, Bash, Docker, Networking, Nginx, TCP/IP, Monitoring, Troubleshooting, HTTP, DNS",Support Engineer Intern,0,Unknown,Russian,,"Analytical Thinking, Problem Solving, Adaptability, Communication",DevOps Engineer,current_custom_dataset
"Python, SQL, Machine Learning, pandas, scikit-learn, A/B Testing, Feature Engineering, Data Analysis, FastAPI, Git",Data Scientist,4,Bachelor,Russian,,"Analytical Thinking, Problem Solving, Communication, Attention to Detail",Machine Learning Engineer,current_custom_dataset
"azure, cybersecurity, networking, security, siem",Trainee Graduate Cybersecurity Analyst at Newto Training,2,Unknown,English,Cisco CCNA,"Communication, Problem Solving",Cybersecurity Analyst,adzuna_api
"Cloud project, NumPy, Python, Pandas, API development, PostgreSQL, Visualization, A/B Testing, Business reporting, Jupyter",Excel certification,3,Master,Kazakh,Cisco CCNA,"Communication, Creativity, Leadership, Teamwork",Data Analyst,current_custom_dataset
"React Native, JavaScript, React (hooks), GraphQL (Apollo), MobX, REST API, WebSocket, Git, i18next, Reanimated, Firebase",Middle Frontend Developer,2,Bachelor,English,,"Teamwork, Problem Solving, Adaptability, Communication",Frontend Developer,current_custom_dataset
"SQLite, React, UI Design, Firebase, iOS, Jira, Kotlin, HTML, State Management, A/B Testing",App portfolio,2,Master,Kazakh,Oracle Java,"Adaptability, Attention to Detail",Mobile Developer,current_custom_dataset
"PostgreSQL, Nginx, GitHub Actions, Docker, TensorFlow, Bash, CI/CD",System administration,1,Bachelor,Kazakh,TensorFlow Developer,"Leadership, Creativity, Communication, Teamwork",DevOps Engineer,current_custom_dataset
"cybersecurity, incident response, monitoring, security, siem",Cybersecurity Senior Incident Response Analyst at JPMorganChase,4,Unknown,English,,Teamwork,Cybersecurity Analyst,adzuna_api
"Angular, JavaScript, TypeScript, HTML, CSS, REST API, Git, SPA, Responsive Design, DOM",Junior Frontend Developer ,2,Bachelor,Russian,,"Adaptability, Teamwork, Problem Solving, Communication",Frontend Developer,current_custom_dataset
"Linux, Excel, Dashboards, Machine Learning, NumPy, Tableau, Responsive Design, Testing, Statistics",API development,0,College,German,Oracle Java,"Self Learning, Attention to Detail, Critical Thinking, Communication",Data Analyst,current_custom_dataset
"UI Design, Feature Engineering, React, API development, TensorFlow, Android, Dart, iOS",App portfolio,1,Bachelor,Turkish,Meta Frontend,"Creativity, Adaptability",Mobile Developer,current_custom_dataset
"Vue.js, JavaScript, TypeScript, HTML, CSS, REST API, Git, Vuex, Pinia, Webpack",Front-end Developer,2,Unknown,Russian,,"Teamwork, Communication, Problem Solving, Attention to Detail",Frontend Developer,current_custom_dataset
aws,Devops Engineer at CODEVERSE LIMITED,4,Unknown,English,AWS Cloud Practitioner,Teamwork,DevOps Engineer,adzuna_api
"Monitoring, Security Monitoring, Wireshark, Firewalls, Networking, NumPy, Risk Assessment",Security course,3,Bachelor,Turkish,TensorFlow Developer,"Teamwork, Adaptability",Cybersecurity Analyst,current_custom_dataset
"React, TypeScript, UI Design, Firebase, Vite, Incident Response",Computer Science degree,0,Bootcamp,Kazakh,Oracle Java,"Critical Thinking, Problem Solving, Leadership",Frontend Developer,current_custom_dataset
"Angular, JavaScript, TypeScript, HTML, CSS, REST API, Unit Testing, Jest, Git, UI Development",Junior Frontend Developer (Angular),2,Unknown,English,,"Teamwork, Communication, Problem Solving, Adaptability",Frontend Developer,current_custom_dataset
machine learning,Machine Learning Engineer at Kleboe Jardine Ltd,2,Unknown,English,,Teamwork,Machine Learning Engineer,adzuna_api
"Security Monitoring, Wireshark, Cryptography, Firewalls, TypeScript, Risk Assessment, Docker, Terraform, Linux",Cybersecurity certificate,0,College,German,Cisco CCNA,"Problem Solving, Creativity, Self Learning, Critical Thinking",Cybersecurity Analyst,current_custom_dataset
"Python, SQL, Machine Learning, pandas, scikit-learn, XGBoost, LightGBM, Feature Engineering, A/B Testing, Data Analysis",Senior Data Scientist,4,Unknown,Russian,,"Leadership, Analytical Thinking, Communication, Problem Solving",Machine Learning Engineer,current_custom_dataset
"PHP, Laravel, MySQL, PostgreSQL, REST API, Docker, Git, RabbitMQ, Microservices, CI/CD",Middle PHP Developer,4,Unknown,Russian,,"Leadership, Analytical Thinking, Problem Solving, Communication",Backend Developer,current_custom_dataset
cybersecurity,"Sr Director Analyst, Cybersecurity, Governance, Risk & Compliance (Remote Europe) at Gartner",4,Unknown,English,,"Communication, Problem Solving",Cybersecurity Analyst,adzuna_api
cybersecurity,Cybersecurity Analyst Graduate Apprentice at 3VRM,2,Unknown,English,,Teamwork,Cybersecurity Analyst,adzuna_api
"SQL (Advanced/Expert), Qlik Sense, Data Analysis, Data Visualization, DWH (PostgreSQL, Oracle), Consumer Analytics, Macroeconomics, Data Quality",Data Analyst,2,Bachelor,Russian,,"Analytical Thinking, Communication, Critical Thinking, Presentation Skills",Data Analyst,current_custom_dataset
Unknown,Data Analyst at Sellick Partnership,2,Unknown,English,,Teamwork,Data Analyst,adzuna_api
"REST API, Figma, TypeScript, React, Hibernate, Responsive Design, Risk Assessment, UI Design, Firebase",Web development,2,Certification,English,,"Communication, Creativity, Leadership",Frontend Developer,current_custom_dataset
"Python, Django, Flask, FastAPI, REST API, Microservices, PostgreSQL, Redis, RabbitMQ, Docker",Python Developer,4,Unknown,Russian,,"Analytical Thinking, Problem Solving, Communication, Teamwork",Backend Developer,current_custom_dataset
"NumPy, Cloud project, Machine Learning, Scikit-learn, TensorFlow, API development, Docker, ML Pipelines",Research project,0,Bachelor,Russian,TensorFlow Developer,"Critical Thinking, Problem Solving, Communication, Teamwork",Machine Learning Engineer,current_custom_dataset
"Python, AWS, Postman, Risk Assessment, Docker, CI/CD, PostgreSQL",Backend internship,1,Master,Turkish,Kubernetes Basics,"Problem Solving, Critical Thinking, Leadership",Backend Developer,current_custom_dataset
"Security Monitoring, Cryptography, Monitoring, Scikit-learn, Docker, System administration, Wireshark, Networking, iOS, Firewalls",Cybersecurity certificate,0,Master,Kazakh,Kubernetes Basics,"Time Management, Problem Solving, Creativity, Critical Thinking",Cybersecurity Analyst,current_custom_dataset
"Statistics, NumPy, Scikit-learn, Firebase, Tableau, Mobile UI, Pandas",Statistics course,4,College,Turkish,ISTQB Foundation,"Time Management, Self Learning, Teamwork",Data Analyst,current_custom_dataset
"Visualization, Jupyter, Manual Testing, Data Cleaning, Scikit-learn, Machine Learning, A/B Testing, Android",Research project,1,Master,Turkish,,"Problem Solving, Adaptability, Attention to Detail",Data Analyst,current_custom_dataset
"Microservices, PostgreSQL, CI/CD, Git, Bug Reporting",Database design,3,Certification,Russian,Oracle Java,"Time Management, Leadership, Creativity",Backend Developer,current_custom_dataset
"Flutter, HTML, Vite, Docker, JavaScript, Excel, REST API",Web development,1,College,English,ISTQB Foundation,"Critical Thinking, Adaptability",Frontend Developer,current_custom_dataset
"ios, qa, security, swift",Mobile Developer (iOS) at Sanderson,2,Unknown,English,,Teamwork,Mobile Developer,adzuna_api
Unknown,DevOps Engineer at hireful.,2,Unknown,English,,Teamwork,DevOps Engineer,adzuna_api
"NumPy, Hibernate, Business reporting, SQL, Scikit-learn",Data analysis projects,0,Bachelor,German,,"Time Management, Attention to Detail, Leadership, Teamwork",Data Analyst,current_custom_dataset
"System administration, Cloud security, Linux, Networking, Firewalls, Cryptography, Pandas, Docker, CI/CD, SIEM",Cybersecurity certificate,0,Certification,English,Google Data Analytics,"Teamwork, Time Management",Cybersecurity Analyst,current_custom_dataset
Unknown,Senior Backend Developer at The Portfolio Group,4,Unknown,English,,Teamwork,Backend Developer,adzuna_api
"aws, manual testing, qa, react, testing",Senior QA Engineer at Morson Edge,4,Unknown,English,AWS Cloud Practitioner,Teamwork,QA Engineer,adzuna_api
"java, microservices",Backend Developer at Stackstudio Digital Ltd.,2,Unknown,English,,Attention to Detail,Backend Developer,adzuna_api
"Model Evaluation, Feature Engineering, Cloud security, HTML, Python, TensorFlow",Kaggle experience,1,Bachelor,German,Oracle Java,"Problem Solving, Adaptability",Machine Learning Engineer,current_custom_dataset
"Python, Machine Learning, REST API, Scikit-learn, Data Cleaning",Web development project,1,Bachelor,Russian,Kubernetes Basics,"Critical Thinking, Teamwork",Data Analyst,current_custom_dataset
"JavaScript (ES6+), React, Vue.js, HTML5, CSS3, REST API, Git, Vite/Webpack, UI/UX, Performance Optimization",Front-end Developer,2,Bachelor,English,,"Teamwork, Problem Solving, Attention to Detail, Communication",Data Analyst,current_custom_dataset
Unknown,Frontend Developer at Anson McCade,2,Unknown,English,,"Communication, Problem Solving",Frontend Developer,adzuna_api
"Power BI, DAX, Data Modeling, SQL, Data Visualization, Microsoft Fabric, Azure, Financial Analytics, Dashboard Development, Performance Optimization",Analyst,2,Bachelor,English,none,"Analytical Thinking, Communication, Attention to Detail, Problem Solving",Data Analyst,current_custom_dataset
"NumPy, Pandas, SQL, Cloud project, ML Pipelines, TensorFlow, System administration",Kaggle experience,1,College,Turkish,Google Data Analytics,"Critical Thinking, Leadership, Adaptability",Machine Learning Engineer,current_custom_dataset
"Tableau, Firebase, Flutter, Java, Kotlin, Dart",App portfolio,4,Bootcamp,English,Cisco CCNA,"Self Learning, Critical Thinking, Creativity",Mobile Developer,current_custom_dataset
"Dashboards, CI/CD, REST API, Manual Testing, Java, Automation Testing, Mobile Testing, Python, Jira",Testing project,1,Bootcamp,English,TensorFlow Developer,"Self Learning, Adaptability, Problem Solving, Time Management",QA Engineer,current_custom_dataset
"Manual Testing, API Testing, Postman, SQL, Jira, REST API",QA Engineer,2,Unknown,English,none,"Attention to Detail, Analytical Thinking, Communication, Problem Solving",QA Engineer,current_custom_dataset
"Docker, UI Design, Mobile UI, REST API, React, API development, Git, Figma",Computer Science degree,2,Bachelor,Turkish,Cisco CCNA,"Adaptability, Leadership",Mobile Developer,current_custom_dataset
Unknown,Senior Mobile Developer at XYZ Reality,4,Unknown,English,,"Communication, Problem Solving",Mobile Developer,adzuna_api
"ci/cd, docker, java, kubernetes, linux, python, sql, terraform",DevOps Engineer at Noir,2,Unknown,English,Kubernetes Basics,Teamwork,DevOps Engineer,adzuna_api
"qa, testing","Performance QA Engineer at Halian | Managed Services, Recruitment Agency & Contract Staffing",2,Unknown,English,,"Communication, Problem Solving",QA Engineer,adzuna_api
"cybersecurity, security","Information Security Analyst - Audit, Compliance & Cybersecurity at NICE",2,Unknown,English,,"Communication, Problem Solving",Cybersecurity Analyst,adzuna_api
ios,Mobile Developer (iOS) at Neurolabs,2,Unknown,English,,"Communication, Problem Solving",Mobile Developer,adzuna_api
Unknown,Senior Frontend Developer at Pentasia,4,Unknown,English,,"Communication, Problem Solving",Frontend Developer,adzuna_api
